seq_x,seq_y,seg_length,seg_heading,seg_heading_change,seg_track_progress,seg_slope,seg_curvature
435954.6255,296186.3746,8.000004364660722,-0.5891744052148854,,0.006062319125025481,0.0050001718195460095,
435961.2486,296181.8875,7.999970375876871,-0.5954599470320223,-0.0007661936359164429,0.012124638250050963,0.0028872453211169747,-0.0007662208709184797
435967.7966,296177.2915,7.9999966142690795,-0.6119957685292221,-0.0021669524420456915,0.018186957375076442,0.003362309727482876,-0.0021669832975658287
435974.3401,296172.6891,7.999967378622511,-0.6129737441328642,-7.191160188782519e-06,0.024249276500101925,0.005437556048522666,-7.191115987214291e-06
435980.8837,296168.0867,8.000049173204733,-0.6129665529726764,7.191160188782519e-06,0.030311595625127405,0.002400282776255252,7.1911159872142436e-06
435987.4662,296163.5405,7.9999748870368474,-0.604422914541296,0.001653841182320967,0.036373914750152885,0.002975027414831957,0.0016538305365391174
435994.0699,296159.0249,7.999968577666749,-0.5997694993870666,-4.106562312422568e-12,0.042436233875178364,0.010337260313128824,-4.106203377128971e-12
436000.6736,296154.5093,7.999968573040163,-0.5997694989395913,-7.055605636990814e-06,0.04849855300020385,-0.006537219485965675,-7.055280293662735e-06
436007.2774,296149.9937,8.00005112156505,-0.5997624433298472,7.055603737232685e-06,0.05456087212522933,0.0014875382444223951,7.0552783935386154e-06
436013.8336,296145.4168,7.998360723158363,-0.6094713626659531,-0.009701863276986855,0.06062319125025481,0.005527570497376564,-0.009710076179056434
436019.823,296140.1133,8.00002757968904,-0.7247354010283391,-0.00631971643513371,0.0666855103752803,0.0014497054758726925,-0.006323923443156572
436025.731,296134.7197,7.999907117655236,-0.7399140657690169,-0.003388094312208323,0.07274782950030577,0.005562404384936366,-0.003388185977539544
436031.5174,296129.1958,8.000003233440655,-0.762193568224234,-0.0029089352118572692,0.07881014862533126,-0.004263480588791948,-0.002908956858706631
436037.0661,296123.4343,7.9999603657949265,-0.8042111688147786,-0.006427805066708356,0.08487246775035673,0.009448524982315902,-0.006427847574010799
436042.1812,296117.2881,7.9998018142938765,-0.8767050380375485,-0.011459673710564583,0.09093478687538221,0.006899622641271886,-0.011460114709615686
436046.4477,296110.5297,7.999534767761539,-1.0076840098386923,-0.017441883705346495,0.0969971060004077,0.0030247555236901378,-0.017442806803101937
436049.6552,296103.2096,7.999581875077743,-1.1578169486061571,-0.019782939165013558,0.10305942512543317,0.002500262997457856,-0.019783732162537232
436051.6611,296095.4765,7.999133780031926,-1.3170048253340818,-0.02286358459986898,0.10912174425045866,0.006375755850057839,-0.022866012320114107
436052.2738,296087.5115,7.9997394139349165,-1.4940271237896483,-0.02237911746899518,0.11518406337548413,0.012375951727218502,-0.022380009159595354
436051.4519,296079.5648,7.999184757694013,-1.6738522888070952,-0.020611739436827425,0.12124638250050962,0.00928846814662633,-0.020613855476991308
436049.1613,296071.9133,7.9993458950979806,-1.8616706401437726,-0.02423629706212216,0.1273087016255351,0.00821370123185304,-0.02423782147161972
436045.4401,296064.8471,7.999054322242266,-2.0555173570428362,-0.025457485712727934,0.1333710207505606,0.010000960466667206,-0.025460363709966877
436040.2085,296058.8357,7.998460361288175,-2.2869661578954634,-0.035757885750742235,0.13943333987558607,0.006727644279346585,-0.03576491630224603
436033.3197,296054.8663,7.997967882595631,-2.6188466431456128,-0.04526561747976188,0.14549565900061154,0.009310910244887408,-0.04527753931840964
436025.4383,296053.82,7.996246861265613,-3.0095487089818196,-0.045333133559189887,0.151557978125637,0.010190434030360513,-0.04535478426134042
436017.6425,296055.4667,7.999249559497325,-3.349746711419771,-0.03923941269355535,0.1576202972506625,0.000876299005367944,-0.039242549050023674
436010.3518,296058.7442,7.99970692094064,-3.564063451279889,-0.017731398241895124,0.16368261637568798,-0.006463019652737499,-0.017732334013373464
436003.2672,296062.4602,8.000026524056606,-3.624661710460219,-0.0018951295636082666,0.16974493550071346,-0.001899910489611855,-0.0018951598595443237
435996.1362,296066.0863,8.0000212681988,-3.612015627084433,0.0022193778399846598,0.17580725462573896,-0.0037873611010713153,0.0022193703062428245
435988.9276,296069.5549,7.99998601225159,-3.5900675012481873,0.0034605779774436463,0.18186957375076443,0.00048737454028626077,0.0034605501025362943
435981.5963,296072.7552,7.999983416363365,-3.553185150166089,0.005115057625961983,0.1879318928757899,-0.004025059336208499,0.005115073261263698
435974.1603,296075.7049,7.999996505494609,-3.5192323935174796,0.0038927317069901157,0.1939942120008154,0.00352526071643819,0.003892724426335297
435966.6375,296078.4255,7.999941697480592,-3.488605821713074,0.004057307191318582,0.20005653112584088,-0.0012625914694509581,0.0040573371423431055
435959.0141,296080.8486,7.999894806413648,-3.449344334698228,0.005906684361897896,0.20611885025086635,-0.0066379021005538615,0.005906755627460441
435951.2918,296082.9359,7.999927105166577,-3.4055795093749808,0.004758412244254329,0.21218116937589182,-0.0006252346790046549,0.0047584744890652175
435943.5036,296084.7627,7.999968043979816,-3.37198750546679,0.004172406157294084,0.21824348850091732,-0.002049805491915288,0.004172414380855928
435935.6599,296086.3344,8.00000286365426,-3.33935089808475,0.004552702892498928,0.2243058076259428,-0.0017249528624348502,0.004552699376206062
435927.7668,296087.6346,7.999962477739786,-3.3048526314632314,0.003711476344018083,0.23036812675096827,0.001899915971234891,0.0037114932409814507
435919.8326,296088.6553,8.000009509579279,-3.2695355074297194,0.004464115164593718,0.23643044587599377,-0.0035996727031791884,0.004464108060061995
435911.8739,296089.4667,8.00001163042197,-3.243192900426285,0.001546080118025539,0.24249276500101924,-0.004250312499953579,0.0015460683137391343
435903.9102,296090.2274,7.999962588112942,-3.236824657974684,0.0008793711561586037,0.2485550841260447,-0.0008622568565947943,0.0008793814529733412
435895.9462,296090.9858,8.000038382397165,-3.236534891824646,0.00010072883557654677,0.2546174032510702,-0.0014869383094079395,0.0001007345106489372
435887.975,296091.6617,8.000005410306928,-3.226183097578859,0.0024706342953407234,0.26067972237609566,0.0024124063278592833,0.0024705992815966474
435879.9904,296092.1556,7.999958324798978,-3.2033705615492707,0.0022300496070557507,0.2667420415011212,-0.000499822779138942,0.002230066837697998
435872.0015,296092.5768,8.000010889723356,-3.194267051071442,0.0006004772711811213,0.27280436062614666,-0.001849867033579992,0.000600458298747345
435864.011,296092.9669,8.000018683561205,-3.1903744052159864,0.0003383169027133537,0.27886667975117213,-0.0013751501439943784,0.00033831344729969
435856.0195,296093.333,8.000000295715708,-3.1873718364975967,0.0008882560218754221,0.2849289988761976,-0.003724886132057206,0.0008882379244774942
435848.0237,296093.5874,7.999907471393651,-3.1733986593093917,0.0018881717345039517,0.2909913180012231,0.0002497579432032476,0.0018881927410901878
435840.0264,296093.7973,8.000059955075894,-3.1678329899397477,2.5312378202357877e-05,0.29705363712624855,-0.00418732510488562,2.53210977060422e-05
435832.0291,296094.0046,8.00000377432403,-3.16750805939632,-0.0004626571973064264,0.303115956251274,-0.0066626739047391465,-0.0004626468394975224
435824.0364,296094.3416,7.99999157679362,-3.183731122003984,-0.0031274254482720476,0.30917827537629955,-0.001011860372570248,-0.003127443058528031
435816.0531,296094.8539,7.99990774114384,-3.2056762943708446,-0.0022549228169314595,0.315240594501325,-0.002862411586944768,-0.0022549312842592203
435808.1333,296095.96,7.99975332307086,-3.2803594722313414,-0.014013612975506684,0.3213029136263505,-0.0011131524144328715,-0.014013913619992102
435800.4553,296098.1682,7.999131198056507,-3.4216424785236024,-0.022345823671539256,0.32736523275137597,-0.006212479487639144,-0.022348166029030753
435793.408,296101.9068,7.999338606709191,-3.629355298104877,-0.030847158590265267,0.33342755187640144,-0.003451267412706716,-0.03084990395270897
435787.4273,296107.1937,7.999049549778114,-3.8654812281190254,-0.025135299408410527,0.3394898710014269,0.0001756578315749536,-0.0251384768881088
435782.0732,296113.1375,7.999923438083797,-3.9791388326252948,-0.002467179551649712,0.3455521901264524,-0.002975231718978381,-0.002467346021934992
435776.2026,296118.5568,7.999385204259461,-3.8870429724985414,0.01892334731108991,0.3516145092514779,-0.009476120736959656,0.018925110001818946
435769.4783,296122.8728,7.999261625988497,-3.7122221637675867,0.021761878842539217,0.3576768283765034,-0.0035751682819523097,0.02176378756947988
435762.1377,296126.0301,7.999346745023059,-3.5477891065140286,0.02065698747523348,0.36373914750152886,-0.003200037309268825,0.020658880071200567
435754.4448,296128.2102,7.999746272935429,-3.417743200112037,0.013426492685018554,0.36980146662655433,-0.0029992639334941174,0.013426897850779256
435746.5761,296129.6358,7.999858588442122,-3.32082292718878,0.011212261978168325,0.3758637857515798,-0.004499638758380284,0.011212399899836134
